Year,S&P Composite,Dividend,Earnings,CPI,Long Interest Rate,Real Price,Real Dividend,Real Earnings,Cyclically Adjusted PE Ratio
2010-01-31,1123.58,22.24,54.29,216.687,3.73,1296.1936570953,25.656692833442,62.630479043505,20.527859801454
2010-02-28,1089.16,22.07,57.61,216.741,3.69,1256.1727243576,25.454232644031,66.443966589155,19.9205393066
2010-03-31,1152.05,21.9,60.93,217.631,3.73,1323.2725981708,25.154871663504,69.985677189831,21.004601209715
2010-04-30,1197.32,21.946666666667,62.986666666667,218.009,3.85,1372.8862737318,25.16476582771,72.222572156807,21.804845599625
2010-05-31,1125.06,21.993333333333,65.043333333333,218.178,3.42,1289.0313405797,25.198741356446,74.523043359856,20.480068638423
2010-06-30,1083.36,22.04,67.1,217.965,3.2,1242.4667731058,25.27688642672,76.954586172092,19.742039853739
2010-07-31,1079.8,22.143333333333,68.686666666667,218.011,3.01,1238.122639454,25.390037333743,78.757656073929,19.668660470718
2010-08-31,1087.28,22.246666666667,70.273333333333,218.312,2.7,1244.9804733592,25.473351480145,80.465866932036,19.770299174359
2010-09-30,1122.08,22.35,71.86,218.439,2.65,1284.0809132069,25.576793464079,82.234826770861,20.381395233204
2010-10-31,1171.58,22.476666666667,73.69,218.711,2.54,1339.0601066019,25.689758840814,84.224158192775,21.240127651759
2010-11-30,1198.89,22.603333333333,75.52,218.803,2.76,1369.6979765474,25.823670169818,86.279467831794,21.700723827761
2010-12-31,1241.53,22.73,77.35,219.179,3.29,1415.9796954202,25.923834685349,88.218592736987,22.396379773044
2011-01-31,1282.62,22.963333333333,78.67,220.223,3.39,1455.9085008151,26.065796734068,89.298718060784,22.978299430555
2011-02-28,1321.12,23.196666666667,79.99,221.309,3.58,1492.2512116543,26.201445697343,90.351500560303,23.489828703299
2011-03-31,1304.49,23.43,81.31,223.467,3.41,1459.2379114702,26.209433775457,90.955572355202,22.899336430144
2011-04-30,1331.51,23.733333333333,82.163333333333,224.906,3.46,1479.9332905192,26.378885697432,91.322072128652,23.143929447286
2011-05-31,1338.31,24.036666666667,83.016666666667,225.964,3.17,1480.526611042,26.590942786609,91.838500915338,23.059491506095
2011-06-30,1287.29,24.34,83.87,225.722,3.0,1425.6117120285,26.955378407953,92.881987965285,22.100831286611
2011-07-31,1325.19,24.62,84.906666666667,225.922,3.0,1466.2849423142,27.241327869796,93.946805239566,22.610981701157
2011-08-31,1185.31,24.9,85.943333333333,226.545,2.3,1307.9050470657,27.475374097861,94.832338736969,20.04985272166
2011-09-30,1173.88,25.18,86.98,226.889,1.98,1293.3289862003,27.742208635059,95.830711162727,19.698114568878
2011-10-31,1207.22,25.596666666667,86.97,226.421,2.15,1332.81068684,28.259564023802,96.017747746455,20.155824786689
2011-11-30,1226.42,26.013333333333,86.96,226.23,2.01,1355.1512731512,28.743824942168,96.087763338196,20.345246797646
